Ticker;Day;Swing;Invest;Beste strategie;Oordeel;Prijs;RSI;EMA20;EMA50;MACD;Signaal
AGN.AS;85;100;100;📈 Swing Trading;⭐⭐⭐⭐⭐ Zeer sterk;7.70;61.40;7.52;7.25;0.1423;0.1374
ASRNL.AS;85;100;100;📈 Swing Trading;⭐⭐⭐⭐⭐ Zeer sterk;68.04;60.96;66.49;64.96;0.8262;0.7001
INGA.AS;85;100;100;📈 Swing Trading;⭐⭐⭐⭐⭐ Zeer sterk;28.42;53.00;27.68;26.63;0.5684;0.5619
MT.AS;85;100;100;📈 Swing Trading;⭐⭐⭐⭐⭐ Zeer sterk;58.02;55.57;55.63;54.95;-0.0989;-0.2806
SHELL.AS;85;85;100;💼 Lang Beleggen;⭐⭐⭐⭐⭐ Zeer sterk;35.72;57.58;35.10;35.72;-0.2461;-0.5315
HEIA.AS;85;80;85;⚡ Day Trading;⭐⭐⭐⭐ Sterk;75.80;66.09;73.68;71.23;1.8446;1.8195
PHIA.AS;65;80;65;📈 Swing Trading;⭐⭐⭐⭐ Sterk;24.06;56.09;23.82;23.41;0.3547;0.3668
RAND.AS;85;80;60;⚡ Day Trading;⭐⭐⭐⭐ Sterk;28.59;66.22;27.23;26.49;0.4953;0.3354
UNA.AS;85;80;60;⚡ Day Trading;⭐⭐⭐⭐ Sterk;54.01;66.48;52.78;51.59;1.1283;1.0894
IMCD.AS;85;70;80;⚡ Day Trading;⭐⭐⭐⭐ Sterk;85.50;60.38;83.71;85.84;-1.1541;-1.8720
UMG.AS;85;65;45;⚡ Day Trading;⭐⭐⭐⭐ Sterk;18.91;64.30;18.70;18.78;0.0246;-0.0455
ABN.AS;65;60;90;💼 Lang Beleggen;⭐⭐⭐⭐⭐ Zeer sterk;38.03;47.20;37.10;34.86;1.0835;1.1745
NN.AS;65;60;90;💼 Lang Beleggen;⭐⭐⭐⭐⭐ Zeer sterk;76.18;48.91;75.46;73.68;0.8492;0.9338
AKZA.AS;0;50;75;💼 Lang Beleggen;⭐⭐⭐⭐ Sterk;57.40;34.17;58.79;57.15;0.2841;0.8177
ASML.AS;0;50;75;💼 Lang Beleggen;⭐⭐⭐⭐ Sterk;1569.00;44.23;1577.29;1490.54;24.9761;41.8083
PRX.AS;85;50;25;⚡ Day Trading;⭐⭐⭐⭐ Sterk;39.54;57.84;38.81;39.55;-0.0432;-0.3331
WKL.AS;65;45;30;⚡ Day Trading;⭐⭐⭐ Redelijk;60.50;71.43;58.89;60.39;-0.3443;-0.8571
ASM.AS;0;35;55;💼 Lang Beleggen;⭐⭐ Zwak;910.40;31.99;949.85;914.97;-3.2855;11.6330
BESI.AS;0;35;55;💼 Lang Beleggen;⭐⭐ Zwak;255.30;25.30;272.43;268.00;-8.6764;-3.1364
AD.AS;85;30;35;⚡ Day Trading;⭐⭐⭐⭐ Sterk;35.91;66.60;35.71;36.38;-0.0870;-0.2483
REN.AS;85;30;10;⚡ Day Trading;⭐⭐⭐⭐ Sterk;28.40;66.35;28.05;28.42;-0.1165;-0.2428
KPN.AS;0;0;25;💼 Lang Beleggen;⭐ Zeer zwak;4.25;43.12;4.31;4.39;-0.0584;-0.0561
